student_id,name,department,cgpa,attendance,coding_score,aptitude_score,communication_score,projects_count,internships,placement_status,placement_encoded
1,Student_1,CSE,6.87,84.91,66,93,79,2,0,Placed,1
2,Student_2,IT,9.75,76.8,31,29,40,3,2,Not Placed,0
3,Student_3,MECH,8.66,65.48,81,95,47,4,2,Placed,1
4,Student_4,EEE,7.99,90.69,99,20,94,1,1,Placed,1
5,Student_5,MECH,5.78,84.24,27,24,53,2,2,Not Placed,0
6,Student_6,EEE,5.78,58.13,40,39,27,0,2,Not Placed,0
7,Student_7,MECH,5.29,95.55,99,27,78,5,0,Placed,1
8,Student_8,ECE,9.33,91.13,89,62,91,2,0,Placed,1
9,Student_9,IT,8.01,97.49,91,95,68,2,2,Placed,1
10,Student_10,EEE,8.54,86.29,44,20,98,2,1,Placed,1
11,Student_11,CSE,5.1,80.67,31,76,36,2,0,Not Placed,0
12,Student_12,IT,9.85,70.91,34,83,79,1,2,Placed,1
13,Student_13,CSE,9.16,96.64,78,47,64,5,2,Placed,1
14,Student_14,IT,6.06,93.3,45,56,88,5,1,Placed,1
15,Student_15,IT,5.91,52.26,45,66,51,5,1,Placed,1
16,Student_16,MECH,5.92,51.32,66,95,63,3,0,Placed,1
17,Student_17,EEE,6.52,68.82,51,56,84,4,1,Placed,1
18,Student_18,EEE,7.62,90.53,29,68,27,5,2,Placed,1
19,Student_19,IT,7.16,99.36,35,63,96,2,2,Placed,1
20,Student_20,ECE,6.46,57.52,90,75,91,2,1,Placed,1
21,Student_21,ECE,8.06,79.71,36,47,62,5,1,Placed,1
22,Student_22,CSE,5.7,69.04,42,98,20,5,1,Placed,1
23,Student_23,CSE,6.46,98.5,45,25,70,2,1,Not Placed,0
24,Student_24,MECH,6.83,92.11,26,80,43,3,0,Placed,1
25,Student_25,IT,7.28,91.92,33,39,43,0,1,Not Placed,0
26,Student_26,CSE,8.93,73.43,98,97,36,0,0,Placed,1
27,Student_27,CSE,6.0,70.74,26,21,24,5,2,Not Placed,0
28,Student_28,IT,7.57,63.67,28,92,39,1,1,Placed,1
29,Student_29,MECH,7.96,52.82,67,56,40,5,0,Placed,1
30,Student_30,CSE,5.23,93.24,91,39,77,5,1,Placed,1
31,Student_31,MECH,8.04,90.65,78,45,50,0,2,Placed,1
32,Student_32,EEE,5.85,99.99,58,48,30,2,2,Placed,1
33,Student_33,MECH,5.33,99.83,37,20,71,5,2,Placed,1
34,Student_34,ECE,9.74,77.77,78,54,34,2,1,Placed,1
35,Student_35,ECE,9.83,88.45,36,89,26,2,1,Placed,1
36,Student_36,MECH,9.04,97.24,33,78,47,1,0,Not Placed,0
37,Student_37,ECE,6.52,92.48,50,88,70,2,2,Placed,1
38,Student_38,EEE,5.49,62.37,43,52,77,0,1,Placed,1
39,Student_39,IT,8.42,72.53,79,70,24,3,2,Placed,1
40,Student_40,ECE,7.2,56.46,64,97,24,3,2,Placed,1
41,Student_41,ECE,5.61,97.7,22,31,27,4,0,Not Placed,0
42,Student_42,MECH,7.48,80.31,56,39,83,5,0,Placed,1
